Bank Name,Bank Type,Root Domain,Source Authority,Verification Date,Confidence Level,IP Address,DNSSEC Enabled,Domain Creation Date,Domain Expiry Date,Registrar,WHOIS Org,SSL Issuer,SSL Issue Date,SSL Expiry Date,Domain Length,Hyphen Count,Domain Age (Days),Is CDN,Uses Let's Encrypt,Domain Hash (SHA256)
Capital Bank of Jordan,Commercial Bank,capitalbank.jo,Central Bank of Jordan,2026-02-25,High,104.20.40.22,Yes,,,,,Google Trust Services,Jan 14 20:48:24 2026 GMT,Apr 14 21:48:07 2026 GMT,14,0,,Yes,0,f534efa9bd363684ceef523baefe567bde96b40c339bc9a1c377c35418b5198c
Jordan Commercial Bank,Commercial Bank,jcbank.com.jo,Central Bank of Jordan,2026-02-25,High,91.223.202.111,No,,,,,Sectigo Limited,Sep  9 00:00:00 2025 GMT,Sep 17 23:59:59 2026 GMT,13,0,,No,0,4d15cd28077aa4cadbbc6cae93077f6abdfe0bd287aa1423039ca78b10a96d93
Jordan Kuwait Bank,Commercial Bank,jkb.com,Central Bank of Jordan,2026-02-25,High,104.27.171.169,No,1999-09-27 11:23:13+00:00,2026-09-27 11:23:11+00:00,"Network Solutions, LLC",,,,,7,0,9648,No,0,a2cdb56738316146b095eada62e4de49007b82bb73d95aae4aba80118a3823bb
Jordan Ahli Bank PLC,Commercial Bank,ahli.com,Central Bank of Jordan,2026-02-25,High,162.159.136.54,Yes,1996-05-09 04:00:00+00:00,2030-05-10 04:00:00+00:00,"Network Solutions, LLC",,Google Trust Services,Feb 21 13:00:05 2026 GMT,May 22 13:59:48 2026 GMT,8,0,10884,Yes,0,74473d98343190ffdf21817b7e1faec3a32c990fad3c590592f0745b76a948b7
The Housing Bank for Trade & Finance,Commercial Bank,hbtf.com,Central Bank of Jordan,2026-02-25,High,141.0.0.10,No,2001-01-10 06:54:33+00:00,2027-01-10 06:54:33+00:00,"Talal Abu Ghazaleh Intellectual Property ""AGIP"" S.A.L. (offshore)",,DigiCert Inc,Dec  9 00:00:00 2025 GMT,Dec  8 23:59:59 2026 GMT,8,0,9177,No,0,21bc3cadda27d10bfb385d91387d3b96c34530102d3b935c96149390cfa5ff61
Bank of Jordan PLC,Commercial Bank,bankofjordan.com,Central Bank of Jordan,2026-02-25,High,159.60.136.52,No,2000-12-06 10:50:39+00:00,2028-12-06 10:50:39+00:00,"Cloudflare, Inc.",DATA REDACTED,SSL Corporation,Mar  6 10:53:23 2025 GMT,Mar  7 03:07:34 2026 GMT,16,0,9212,No,0,63b439ea7f9d9da5e814b3eb53d21d4a24ab6db6d6865ce4905aad527bda1d79
Cairo Amman Bank,Commercial Bank,cab.jo,Central Bank of Jordan,2026-02-25,High,104.18.3.97,Yes,,,,,DigiCert Inc,Jul 30 00:00:00 2025 GMT,Aug 30 23:59:59 2026 GMT,6,0,,Yes,0,ba9b9c2cada326e658390e584773857e8badb475552a93383f0a9324aa86d5b2
Arab Bank PLC,Commercial Bank,arabbank.com,Central Bank of Jordan,2026-02-25,High,37.75.144.226,No,1996-01-25 05:00:00+00:00,2028-01-26 05:00:00+00:00,"Network Solutions, LLC",,DigiCert Inc,Feb 24 00:00:00 2026 GMT,Mar 27 23:59:59 2027 GMT,12,0,10989,No,0,104d7d16a718e95d23fe49f3a3c21c239d6d984c77ee26957c41d8355aa591ec
Arab Banking Corporation (Jordan),Commercial Bank,bank-abc.com,Central Bank of Jordan,2026-02-25,High,54.77.175.38,No,2014-11-25 15:59:53+00:00,2026-11-25 15:59:53+00:00,"GoDaddy.com, LLC",,DigiCert Inc,Dec 23 00:00:00 2025 GMT,Jan 22 23:59:59 2027 GMT,12,1,4110,Yes,0,87962d8e635cd0f5c35c2d92d14fc9bb212d7b80c4efaaba658a2ea9d487abfc
Arab Jordan Investment Bank,Commercial Bank,ajib.com,Central Bank of Jordan,2026-02-25,High,104.28.23.79,No,1997-03-01 05:00:00+00:00,2034-03-02 05:00:00+00:00,"GoDaddy.com, LLC",,,,,8,0,10588,Yes,0,a265345ba405fd74a34eba3554217e8a1d7b1413083f8f3b665faae5f99e16d5
Bank al Etihad,Commercial Bank,bankaletihad.com,JODIC / ABJ,2026-02-25,High,13.226.69.9,No,2010-10-21 13:18:00+00:00,2026-10-21 13:18:00+00:00,"MarkMonitor, Inc.",Bank Al Etihad,DigiCert Inc,Jan 31 00:00:00 2026 GMT,Apr 14 23:59:59 2026 GMT,16,0,5606,Yes,0,53f610cd0da3ff3f25c07189ad82016dc4a4e346e816951e9cc71a56d04d9646
INVESTBANK,Commercial Bank,investbank.jo,JODIC / ABJ,2026-02-25,High,45.88.196.66,No,,,,,Let's Encrypt,Jan  5 01:18:46 2026 GMT,Apr  5 01:18:45 2026 GMT,13,0,,No,1,4621de315c3c1ab20dc0955485e14d477dcca9ba6daaac1303207f235d6838eb
Islamic International Arab Bank PLC,Islamic Bank,iiabank.com.jo,JODIC / ABJ,2026-02-25,High,185.180.80.70,No,,,,,Sectigo Limited,Mar 24 00:00:00 2025 GMT,Mar 28 23:59:59 2026 GMT,14,0,,No,0,ca3fb1638a3d8dd83633413e4b29beff5c082b6c6d7bc56b88646c984974a8ca
Jordan Islamic Bank,Islamic Bank,jordanislamicbank.com,JODIC / ABJ,2026-02-25,High,107.154.80.103,Yes,1998-11-19 05:00:00+00:00,2026-11-18 05:00:00+00:00,"GoDaddy.com, LLC",,,,,21,0,9960,No,0,a891419480979b1893041e0874faf436ba111320c7f26c8703449731e29e93c7
Safwa Islamic Bank,Islamic Bank,safwabank.com,JODIC / ABJ,2026-02-25,High,192.169.92.6,Yes,2017-02-12 11:28:07+00:00,2030-02-12 11:28:07+00:00,"GoDaddy.com, LLC",,"GoDaddy.com, Inc.",Jan  7 15:22:20 2026 GMT,Apr  7 15:22:20 2026 GMT,13,0,3300,No,0,7da3e1c97eef42d77456ab61b559d5e5a787beb1a1c98626a84f6e3485aa49f6
Egyptian Arab Land Bank,Foreign Bank,aqaribank.jo,JODIC / ABJ,2026-02-25,High,91.106.108.156,No,,,,,DigiCert Inc,Sep 28 00:00:00 2025 GMT,Oct  5 23:59:59 2026 GMT,12,0,,No,0,62479304f474b67c635deeebce90fd762e399c0a052fe048e2a20403434cf403
Citibank N.A. (Jordan),Foreign Bank,citibank.com,JODIC / ABJ,2026-02-25,High,104.94.222.171,No,1991-02-02 05:00:00+00:00,2033-02-03 05:00:00+00:00,"CSC Corporate Domains, Inc.",,DigiCert Inc,Oct 29 00:00:00 2025 GMT,Mar 31 23:59:59 2026 GMT,12,0,12807,No,0,da7487da9ae3cd007ca93168eb4092b89d742455b8f5440cdea75a05b45fd803
BLOM Bank (Jordan),Foreign Bank,blom.com.lb,JODIC / ABJ,2026-02-25,High,104.21.29.66,No,2016-05-10 00:00:00+00:00,2027-08-10 00:00:00+00:00,TERRANET,,Google Trust Services,Feb  8 12:01:57 2026 GMT,May  9 13:00:25 2026 GMT,11,0,3578,Yes,0,7a97579e69d405ebe22336b635b4c0bc68e115605b9f099e35a5ecf22700bfb8
Rafidain Bank (Jordan Branch),Foreign Bank,rafidainamman.com,CBJ / ABJ,2026-02-25,Medium,134.119.186.98,No,2010-03-15 13:07:06+00:00,2027-03-15 13:07:06+00:00,DYNADOT LLC,Super Privacy Service LTD c/o Dynadot,Let's Encrypt,Jan 17 04:03:42 2026 GMT,Apr 17 04:03:41 2026 GMT,17,0,5826,No,1,9f3f04e9f3f7bcc79a7f1cb6c925de317be0e032cc7363402f2fcd12aaf3bf0b
Al Rajhi Bank (Jordan),Foreign Islamic Bank,alrajhibank.com.jo,CBJ / ABJ,2026-02-25,High,178.20.186.10,No,,,,,,,,18,0,,No,0,ff6893aaa447e4302e835a971b59b7dba5d1ff77ab15d7c05fe4eb8f664653ce
